hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
2,married,3,7,1082
2,single,0,7,572
2,single,1,7,671
2,single,2,7,792
2,single,3,7,914
2,married,0,8,918
2,married,1,8,1002
2,married,2,8,1071
2,married,3,8,1159
2,single,0,8,649
2,single,1,8,748
2,single,2,8,870
2,single,3,8,992
2,married,0,9,996
2,married,1,9,1081
2,married,2,9,1149
2,married,3,9,1238
2,single,0,9,728
2,single,1,9,827
2,single,2,9,950
2,single,3,9,1072
2,married,0,10,1048
2,married,1,10,1132
2,married,2,10,1201
2,married,3,10,1290
2,single,0,10,780
2,single,1,10,879
2,single,2,10,1002
2,single,3,10,1125
2,married,0,11,1112
2,married,1,11,1196
2,married,2,11,1265
2,married,3,11,1355
2,single,0,11,844
2,single,1,11,944
2,single,2,11,1067
2,single,3,11,1191
2,married,0,12,1226
2,married,1,12,1311
2,married,2,12,1380
2,married,3,12,1471
2,single,0,12,960
2,single,1,12,1060
2,single,2,12,1184
2,single,3,12,1309
2,married,0,13,1398
2,married,1,13,1482
2,married,2,13,1551
2,married,3,13,1645
2,single,0,13,1133
2,single,1,13,1234
2,single,2,13,1360
2,single,3,13,1486
2,married,0,14,1421
2,married,1,14,1505
2,married,2,14,1574
2,married,3,14,1668
2,single,0,14,1155
2,single,1,14,1256
2,single,2,14,1382
2,single,3,14,1509
3,married,0,1,602
3,married,1,1,703
3,married,2,1,772
3,married,3,1,882
3,single,0,1,316
3,single,1,1,429
3,single,2,1,548
3,single,3,1,684
3,married,0,2,602
3,married,1,2,703
3,married,2,2,772
3,married,3,2,882
3,single,0,2,331
3,single,1,2,429
3,single,2,2,548
3,single,3,2,684
3,married,0,3,618
3,married,1,3,703
3,married,2,3,772
3,married,3,3,882
3,single,0,3,348
3,single,1,3,445
3,single,2,3,565
3,single,3,3,684
3,married,0,4,644
3,married,1,4,729
3,married,2,4,797
3,married,3,4,882
3,single,0,4,373
3,single,1,4,471
3,single,2,4,591
3,single,3,4,710
3,married,0,5,684
3,married,1,5,769
3,married,2,5,838
3,married,3,5,923
3,single,0,5,414
3,single,1,5,512
3,single,2,5,632
3,single,3,5,752
3,married,0,6,745
3,married,1,6,830
3,married,2,6,898
3,married,3,6,984
3,single,0,6,475
3,single,1,6,573
3,single,2,6,694
3,single,3,6,814
3,married,0,7,833
3,married,1,7,918
3,married,2,7,987
3,married,3,7,1074
3,single,0,7,564
3,single,1,7,663
3,single,2,7,784
3,single,3,7,905
3,married,0,8,909
3,married,1,8,994
3,married,2,8,1063
3,married,3,8,1151
3,single,0,8,641
3,single,1,8,740
3,single,2,8,861
3,single,3,8,983
3,married,0,9,988
3,married,1,9,1072
3,married,2,9,1141
3,married,3,9,1230
3,single,0,9,719
3,single,1,9,819
3,single,2,9,941
3,single,3,9,1064
3,married,0,10,1039
3,married,1,10,1124
3,married,2,10,1193
3,married,3,10,1282
3,single,0,10,771
3,single,1,10,871
3,single,2,10,994
3,single,3,10,1117
3,married,0,11,1103
3,married,1,11,1188
3,married,2,11,1257
3,married,3,11,1347
3,single,0,11,836
3,single,1,11,936
3,single,2,11,1059
3,single,3,11,1183
3,married,0,12,1218
3,married,1,12,1302
3,married,2,12,1371
3,married,3,12,1463
3,single,0,12,951
3,single,1,12,1051
3,single,2,12,1176
3,single,3,12,1300
3,married,0,13,1390
3,married,1,13,1474
3,married,2,13,1543
3,married,3,13,1637
3,single,0,13,1124
3,single,1,13,1225
3,single,2,13,1351
3,single,3,13,1477
3,married,0,14,1412
3,married,1,14,1496
3,married,2,14,1565
3,married,3,14,1659
3,single,0,14,1147
3,single,1,14,1248
3,single,2,14,1374
3,single,3,14,1500
4,married,0,1,638
4,married,1,1,739
4,married,2,1,808
4,married,3,1,918
4,single,0,1,352
4,single,1,1,465
4,single,2,1,585
4,single,3,1,721
4,married,0,2,638
4,married,1,2,739
4,married,2,2,808
4,married,3,2,918
4,single,0,2,368
4,single,1,2,465
4,single,2,2,585
4,single,3,2,721
4,married,0,3,654
4,married,1,3,739
4,married,2,3,808
4,married,3,3,918
4,single,0,3,384
4,single,1,3,482
4,single,2,3,601
4,single,3,3,721
4,married,0,4,680
4,married,1,4,765
4,married,2,4,833
4,married,3,4,918
4,single,0,4,409
4,single,1,4,507
4,single,2,4,627
4,single,3,4,747
4,married,0,5,720
4,married,1,5,805
4,married,2,5,874
4,married,3,5,959
4,single,0,5,450
4,single,1,5,548
4,single,2,5,669
4,single,3,5,789
4,married,0,6,781
4,married,1,6,866
4,married,2,6,934
4,married,3,6,1020
4,single,0,6,511
4,single,1,6,609
4,single,2,6,730
4,single,3,6,851
4,married,0,7,869
4,married,1,7,954
4,married,2,7,1023
4,married,3,7,1110
4,single,0,7,600
4,single,1,7,699
4,single,2,7,820
4,single,3,7,942
4,married,0,8,945
4,married,1,8,1030
4,married,2,8,1099
4,married,3,8,1187
4,single,0,8,677
4,single,1,8,776
4,single,2,8,898
4,single,3,8,1020
4,married,0,9,1024
4,married,1,9,1108
4,married,2,9,1177
4,married,3,9,1266
4,single,0,9,756
4,single,1,9,855
